TitleID	ItemID	PageID	Title	Authors	Associations	Variants	Keywords	Collections	PublicationPlace	PublisherName	PublicationDate	StartYear	EndYear	Year	EditionStatement	LanguageName	InstitutionName	BibliographicLevelName	Volume	PageTypes	PagePrefix	PageNumber
44963	100598	32277285	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text	Page	29
44963	100598	32277286	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text	Page	30
44963	100598	32277287	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text	Page	31
44963	100598	32277288	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text	Page	32
44963	100598	32277289	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text		
44963	100598	32277290	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text		
44963	100598	32277291	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text		
44963	100598	32277292	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text		
44963	100598	32277293	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text		
44963	100598	32277294	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text|Illustration		
44963	100598	32277295	Proceedings of the Zoological Society of London.  	Zoological Society of London.	Preceded by: Proceedings of the Committee of Science and Correspondence of the Zoological Society of London|Succeeded by: Journal of zoology|Succeeded by: Journal of zoology|Succeeded by: Zoolgical Society of London. Agenda and abstracts of the scientific meetings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Proc. Zool. Soc. Lond.|Proceedings of the general meetings for scientific business of the Zoological Society of London|Proceedings of the Zoological Society of London	Periodicals|Zoology		London :	Academic Press, [etc.],	1833-1965.	1833	1965			English	Smithsonian Libraries	Serial	1922:pt.1-2 [pp.1-481]	Text	Page	33
